PanProtein	has_length	translates_from_PanGene	member_of_PanProteinCluster
PAN2293	275	pan_2293	PANCL5308
PAN2237	281	pan_2237	PANCL1383
PAN5379	246	pan_5379	PANCL8637
PAN11632	210	pan_11632	PANCL13412
PAN8753	331	pan_8753	PANCL8543
PAN508	278	pan_508	PANCL8
PAN5262	284	pan_5262	PANCL5262
PAN9998	165	pan_9998	PANCL9998
PAN9794	311	pan_9794	PANCL12746
PAN10356	640	pan_10356	PANCL8755
PAN8760	640	pan_8760	PANCL8755
PAN12398	210	pan_12398	PANCL12398
PAN4520	258	pan_4520	PANCL2948
PAN7463	345	pan_7463	PANCL8720
PAN3237	398	pan_3237	PANCL13812
PAN4909	263	pan_4909	PANCL8
PAN3145	310	pan_3145	PANCL3145
PAN6899	304	pan_6899	PANCL6899
PAN5555	108	pan_5555	PANCL6146
PAN9787	389	pan_9787	PANCL8002
PAN7810	63	pan_7810	PANCL7810
PAN1540	275	pan_1540	PANCL1383
PAN8395	198	pan_8395	PANCL9256
PAN415	327	pan_415	PANCL415
PAN12726	389	pan_12726	PANCL8002
PAN2985	398	pan_2985	PANCL13812
PAN10458	396	pan_10458	PANCL7352
PAN11072	162	pan_11072	PANCL9618
PAN2141	267	pan_2141	PANCL12643
PAN2057	277	pan_2057	PANCL1383
PAN9265	381	pan_9265	PANCL13812
PAN5248	247	pan_5248	PANCL519
PAN13210	398	pan_13210	PANCL13812
PAN8788	354	pan_8788	PANCL13763
PAN10544	294	pan_10544	PANCL6752
PAN12075	179	pan_12075	PANCL12075
PAN1066	140	pan_1066	PANCL2844
PAN4548	398	pan_4548	PANCL13812
PAN2402	292	pan_2402	PANCL5365
PAN12093	177	pan_12093	PANCL8212
PAN13209	391	pan_13209	PANCL13812
PAN4491	542	pan_4491	PANCL5757
PAN9321	381	pan_9321	PANCL8002
PAN11819	392	pan_11819	PANCL89
PAN11564	153	pan_11564	PANCL11564
PAN12756	352	pan_12756	PANCL12746
PAN8391	552	pan_8391	PANCL8391
PAN11430	1038	pan_11430	PANCL11430
PAN4136	398	pan_4136	PANCL13812
PAN1885	281	pan_1885	PANCL1383
PAN10030	177	pan_10030	PANCL8212
PAN11934	167	pan_11934	PANCL10885
PAN3681	250	pan_3681	PANCL2948
PAN11500	77	pan_11500	PANCL8002
PAN1349	382	pan_1349	PANCL8002
PAN3609	256	pan_3609	PANCL3609
PAN10306	159	pan_10306	PANCL10031
PAN5339	188	pan_5339	PANCL5339
PAN12828	646	pan_12828	PANCL8755
PAN10266	388	pan_10266	PANCL8062
PAN12421	275	pan_12421	PANCL1383
PAN4578	398	pan_4578	PANCL13812
PAN12893	640	pan_12893	PANCL8755
PAN4071	106	pan_4071	PANCL4071
PAN3754	398	pan_3754	PANCL13812
PAN4383	398	pan_4383	PANCL13812
PAN1667	275	pan_1667	PANCL1383
PAN1569	275	pan_1569	PANCL1383
PAN9866	506	pan_9866	PANCL9866
PAN9144	1051	pan_9144	PANCL9144
PAN12571	144	pan_12571	PANCL9984
PAN1335	293	pan_1335	PANCL1892
PAN1714	276	pan_1714	PANCL281
PAN3378	382	pan_3378	PANCL8002
PAN7839	163	pan_7839	PANCL9618
PAN3586	384	pan_3586	PANCL6368
PAN2450	390	pan_2450	PANCL1502
PAN2590	287	pan_2590	PANCL1266
PAN6195	544	pan_6195	PANCL6195
PAN5423	220	pan_5423	PANCL2883
PAN10665	285	pan_10665	PANCL1185
PAN10133	297	pan_10133	PANCL7537
PAN8271	267	pan_8271	PANCL12643
PAN2059	277	pan_2059	PANCL1383
PAN11849	297	pan_11849	PANCL7537
PAN8022	348	pan_8022	PANCL8002
PAN12518	640	pan_12518	PANCL8755
PAN14038	165	pan_14038	PANCL10907
PAN13654	382	pan_13654	PANCL7352
PAN13988	319	pan_13988	PANCL12746
PAN13025	274	pan_13025	PANCL1383
PAN5713	389	pan_5713	PANCL941
PAN3391	384	pan_3391	PANCL6368
PAN6555	263	pan_6555	PANCL8
PAN10038	168	pan_10038	PANCL8206
PAN2517	270	pan_2517	PANCL557
PAN11252	168	pan_11252	PANCL10817
PAN13541	180	pan_13541	PANCL9696
PAN7158	279	pan_7158	PANCL1383
PAN5517	229	pan_5517	PANCL5517
PAN4968	264	pan_4968	PANCL5280
PAN2122	273	pan_2122	PANCL767
PAN13496	640	pan_13496	PANCL8755
PAN4093	382	pan_4093	PANCL8002
PAN3270	275	pan_3270	PANCL1383
PAN13855	356	pan_13855	PANCL13855
PAN10909	170	pan_10909	PANCL9079
PAN11074	163	pan_11074	PANCL8840
PAN4277	398	pan_4277	PANCL13812
PAN11523	337	pan_11523	PANCL8966
PAN5011	254	pan_5011	PANCL5011
PAN1133	382	pan_1133	PANCL8002
PAN10936	165	pan_10936	PANCL10907
PAN3155	247	pan_3155	PANCL519
PAN9119	306	pan_9119	PANCL9315
PAN2188	274	pan_2188	PANCL1383
PAN2848	489	pan_2848	PANCL2403
PAN13529	389	pan_13529	PANCL8002
PAN11032	165	pan_11032	PANCL7353
PAN9397	640	pan_9397	PANCL8755
PAN1297	287	pan_1297	PANCL1266
PAN6017	264	pan_6017	PANCL8
PAN2527	279	pan_2527	PANCL1383
PAN439	158	pan_439	PANCL6117
PAN4508	398	pan_4508	PANCL13812
PAN2821	391	pan_2821	PANCL287
PAN13587	167	pan_13587	PANCL7449
PAN53	429	pan_53	PANCL53
PAN4907	297	pan_4907	PANCL5365
PAN2104	215	pan_2104	PANCL2748
PAN119	288	pan_119	PANCL3089
PAN8422	274	pan_8422	PANCL1383
PAN384	258	pan_384	PANCL384
PAN684	292	pan_684	PANCL144
PAN602	293	pan_602	PANCL1418
PAN3461	398	pan_3461	PANCL13812
PAN9257	146	pan_9257	PANCL11345
PAN530	382	pan_530	PANCL8002
PAN13749	162	pan_13749	PANCL9618
PAN9566	210	pan_9566	PANCL12886
PAN1415	284	pan_1415	PANCL1053
PAN5581	185	pan_5581	PANCL8
PAN4921	294	pan_4921	PANCL6752
PAN106	275	pan_106	PANCL1383
PAN13361	163	pan_13361	PANCL9618
PAN1861	263	pan_1861	PANCL5280
PAN3483	274	pan_3483	PANCL1383
PAN5045	541	pan_5045	PANCL817
PAN4672	398	pan_4672	PANCL13812
PAN3671	640	pan_3671	PANCL8755
PAN3987	701	pan_3987	PANCL7271
PAN12777	708	pan_12777	PANCL12777
PAN7966	278	pan_7966	PANCL10891
PAN9777	302	pan_9777	PANCL7537
PAN544	215	pan_544	PANCL2748
PAN13705	292	pan_13705	PANCL13672
PAN12039	161	pan_12039	PANCL10099
PAN1037	380	pan_1037	PANCL8002
PAN10549	275	pan_10549	PANCL1383
PAN5740	161	pan_5740	PANCL7127
PAN265	287	pan_265	PANCL1266
PAN4674	247	pan_4674	PANCL519
PAN4227	227	pan_4227	PANCL2748
PAN9635	366	pan_9635	PANCL9813
PAN831	287	pan_831	PANCL1266
PAN12028	107	pan_12028	PANCL10748
PAN5230	480	pan_5230	PANCL5230
PAN2323	292	pan_2323	PANCL5365
PAN5010	279	pan_5010	PANCL1383
PAN6538	148	pan_6538	PANCL5091
PAN2387	382	pan_2387	PANCL8002
PAN10885	178	pan_10885	PANCL10885
PAN7413	209	pan_7413	PANCL9601
PAN10515	264	pan_10515	PANCL8002
PAN11153	541	pan_11153	PANCL817
PAN9632	346	pan_9632	PANCL8720
PAN8637	254	pan_8637	PANCL8637
PAN8906	310	pan_8906	PANCL7929
PAN64	287	pan_64	PANCL1266
PAN1433	287	pan_1433	PANCL1266
PAN12917	410	pan_12917	PANCL8755
PAN9529	164	pan_9529	PANCL9618
PAN10448	162	pan_10448	PANCL7975
PAN5275	442	pan_5275	PANCL5275
PAN4253	140	pan_4253	PANCL2844
PAN5600	270	pan_5600	PANCL557
PAN10095	301	pan_10095	PANCL10095
PAN11821	265	pan_11821	PANCL8238
PAN12477	771	pan_12477	PANCL6669
PAN1997	258	pan_1997	PANCL2948
PAN11069	346	pan_11069	PANCL12746
PAN10282	169	pan_10282	PANCL10282
PAN8846	168	pan_8846	PANCL9618
PAN9738	360	pan_9738	PANCL9813
PAN7182	1051	pan_7182	PANCL5783
PAN2521	275	pan_2521	PANCL1383
PAN12601	384	pan_12601	PANCL6368
PAN5579	669	pan_5579	PANCL1787
PAN5946	221	pan_5946	PANCL3144
PAN735	275	pan_735	PANCL1383
PAN11321	70	pan_11321	PANCL11997
PAN7888	360	pan_7888	PANCL941
PAN4431	384	pan_4431	PANCL6368
PAN6746	427	pan_6746	PANCL6746
PAN12315	398	pan_12315	PANCL13812
PAN12553	164	pan_12553	PANCL4198
PAN7331	264	pan_7331	PANCL8
PAN5322	425	pan_5322	PANCL5322
PAN11627	209	pan_11627	PANCL9601
PAN4142	343	pan_4142	PANCL4133
PAN1180	295	pan_1180	PANCL1418
PAN13499	288	pan_13499	PANCL3089
PAN13907	324	pan_13907	PANCL13907
PAN1787	669	pan_1787	PANCL1787
PAN8540	340	pan_8540	PANCL8720
PAN4603	301	pan_4603	PANCL6752
PAN9286	39	pan_9286	PANCL6560
PAN8803	270	pan_8803	PANCL8803
PAN603	291	pan_603	PANCL5365
PAN11207	274	pan_11207	PANCL1383
PAN7777	79	pan_7777	PANCL11334
PAN11744	272	pan_11744	PANCL11744
PAN9644	164	pan_9644	PANCL9644
PAN1362	215	pan_1362	PANCL2748
PAN12770	167	pan_12770	PANCL12770
PAN12423	247	pan_12423	PANCL519
PAN4307	525	pan_4307	PANCL657
PAN4763	267	pan_4763	PANCL4763
PAN3570	266	pan_3570	PANCL9105
PAN5260	499	pan_5260	PANCL5260
PAN5812	195	pan_5812	PANCL1458
PAN1525	275	pan_1525	PANCL1383
PAN6400	278	pan_6400	PANCL8
PAN1524	382	pan_1524	PANCL8002
PAN13336	640	pan_13336	PANCL8755
PAN3448	398	pan_3448	PANCL13812
PAN9433	111	pan_9433	PANCL5169
PAN3518	292	pan_3518	PANCL5365
PAN13155	194	pan_13155	PANCL3630
PAN205	284	pan_205	PANCL1053
PAN3085	386	pan_3085	PANCL6368
PAN1355	287	pan_1355	PANCL1266
PAN2491	266	pan_2491	PANCL9105
PAN8509	640	pan_8509	PANCL8755
PAN8605	380	pan_8605	PANCL8297
PAN9897	279	pan_9897	PANCL1383
PAN189	542	pan_189	PANCL5757
PAN7289	421	pan_7289	PANCL315
PAN3806	384	pan_3806	PANCL6368
PAN4547	286	pan_4547	PANCL4547
PAN465	240	pan_465	PANCL102
PAN3415	276	pan_3415	PANCL11647
PAN2546	290	pan_2546	PANCL1418
PAN11813	214	pan_11813	PANCL11813
PAN1291	276	pan_1291	PANCL1383
PAN8207	167	pan_8207	PANCL9556
PAN1476	275	pan_1476	PANCL1383
PAN5846	498	pan_5846	PANCL5846
PAN7312	640	pan_7312	PANCL8755
PAN1176	162	pan_1176	PANCL5526
PAN7993	350	pan_7993	PANCL12840
PAN2750	227	pan_2750	PANCL2748
PAN8533	640	pan_8533	PANCL8755
PAN9729	307	pan_9729	PANCL4078
PAN11482	292	pan_11482	PANCL144
PAN1276	287	pan_1276	PANCL1266
PAN7096	290	pan_7096	PANCL625
PAN8698	352	pan_8698	PANCL12746
PAN3200	287	pan_3200	PANCL1266
PAN1258	287	pan_1258	PANCL1266
PAN9378	297	pan_9378	PANCL7537
PAN917	287	pan_917	PANCL1266
PAN6192	326	pan_6192	PANCL2791
PAN9088	382	pan_9088	PANCL8002
PAN3942	295	pan_3942	PANCL6752
PAN13365	353	pan_13365	PANCL10457
PAN10048	165	pan_10048	PANCL10048
PAN2097	185	pan_2097	PANCL2097
PAN5793	147	pan_5793	PANCL1063
PAN8163	405	pan_8163	PANCL8002
PAN10488	166	pan_10488	PANCL10916
PAN3547	289	pan_3547	PANCL11230
PAN9398	297	pan_9398	PANCL7537
PAN4560	383	pan_4560	PANCL13812
PAN3575	398	pan_3575	PANCL13812
PAN13198	275	pan_13198	PANCL1383
PAN526	245	pan_526	PANCL6947
PAN1230	287	pan_1230	PANCL1266
PAN4436	234	pan_4436	PANCL4436
PAN1619	274	pan_1619	PANCL1383
PAN3263	274	pan_3263	PANCL1383
PAN12818	272	pan_12818	PANCL4236
PAN8473	148	pan_8473	PANCL9984
PAN6395	264	pan_6395	PANCL8
PAN13270	345	pan_13270	PANCL12746
PAN9709	165	pan_9709	PANCL9709
PAN3899	275	pan_3899	PANCL1383
PAN3583	287	pan_3583	PANCL1266
PAN11615	160	pan_11615	PANCL8432
PAN8220	169	pan_8220	PANCL9079
PAN3774	384	pan_3774	PANCL6368
PAN9730	267	pan_9730	PANCL12643
PAN6422	395	pan_6422	PANCL1673
PAN1086	287	pan_1086	PANCL1266
PAN11391	141	pan_11391	PANCL651
PAN1575	281	pan_1575	PANCL1383
PAN4534	398	pan_4534	PANCL13812
PAN4083	515	pan_4083	PANCL2624
PAN13211	168	pan_13211	PANCL13211
PAN7915	342	pan_7915	PANCL12746
PAN12076	161	pan_12076	PANCL12076
PAN13190	473	pan_13190	PANCL13190
PAN4161	398	pan_4161	PANCL13812
PAN2349	292	pan_2349	PANCL144
PAN1589	247	pan_1589	PANCL519
PAN11611	122	pan_11611	PANCL7752
PAN1165	294	pan_1165	PANCL6752
PAN10500	163	pan_10500	PANCL10500
PAN9765	645	pan_9765	PANCL2911
PAN12896	290	pan_12896	PANCL13672
PAN4646	402	pan_4646	PANCL1673
PAN12816	366	pan_12816	PANCL13949
PAN9619	164	pan_9619	PANCL8781
PAN6275	405	pan_6275	PANCL13090
PAN9168	303	pan_9168	PANCL9315
PAN97	292	pan_97	PANCL144
PAN1320	292	pan_1320	PANCL5365
PAN2327	287	pan_2327	PANCL1266
PAN429	389	pan_429	PANCL46
PAN4156	301	pan_4156	PANCL13410
PAN5664	217	pan_5664	PANCL2883
PAN5958	344	pan_5958	PANCL2132
PAN6926	175	pan_6926	PANCL6926
PAN4668	275	pan_4668	PANCL1383
PAN9835	353	pan_9835	PANCL12755
PAN885	287	pan_885	PANCL1266
PAN13154	170	pan_13154	PANCL13154
PAN8403	291	pan_8403	PANCL1418
PAN8957	277	pan_8957	PANCL8957
PAN11088	263	pan_11088	PANCL5280
PAN10146	165	pan_10146	PANCL7449
PAN3889	275	pan_3889	PANCL1383
PAN609	542	pan_609	PANCL817
PAN2988	250	pan_2988	PANCL363
PAN10579	542	pan_10579	PANCL817
PAN12206	380	pan_12206	PANCL8297
PAN1871	245	pan_1871	PANCL1441
PAN5321	425	pan_5321	PANCL5321
PAN5668	720	pan_5668	PANCL5668
PAN9426	463	pan_9426	PANCL9426
PAN1455	267	pan_1455	PANCL12643
PAN1924	384	pan_1924	PANCL6368
PAN12914	640	pan_12914	PANCL8755
PAN4337	276	pan_4337	PANCL4337
PAN10128	255	pan_10128	PANCL13556
PAN9522	371	pan_9522	PANCL7352
PAN1009	271	pan_1009	PANCL10748
PAN8728	160	pan_8728	PANCL8679
PAN8620	130	pan_8620	PANCL8620
PAN9629	354	pan_9629	PANCL12840
PAN11175	303	pan_11175	PANCL5365
PAN9612	389	pan_9612	PANCL8002
PAN5605	233	pan_5605	PANCL5428
PAN5350	146	pan_5350	PANCL276
PAN11271	263	pan_11271	PANCL6143
PAN3333	265	pan_3333	PANCL3481
PAN10408	357	pan_10408	PANCL10457
PAN5615	295	pan_5615	PANCL9315
PAN6498	394	pan_6498	PANCL3630
PAN13684	340	pan_13684	PANCL8755
PAN862	287	pan_862	PANCL1266
PAN10249	640	pan_10249	PANCL8755
PAN637	296	pan_637	PANCL649
PAN1934	287	pan_1934	PANCL1266
PAN11829	306	pan_11829	PANCL11829
PAN1543	270	pan_1543	PANCL557
PAN768	185	pan_768	PANCL524
PAN10839	175	pan_10839	PANCL10839
PAN9930	297	pan_9930	PANCL9381
PAN3825	275	pan_3825	PANCL1383
PAN11977	99	pan_11977	PANCL12013
PAN5990	122	pan_5990	PANCL5474
PAN13793	162	pan_13793	PANCL9618
PAN4469	250	pan_4469	PANCL2948
PAN7131	391	pan_7131	PANCL6747
PAN6567	278	pan_6567	PANCL8
PAN9213	145	pan_9213	PANCL10753
PAN480	294	pan_480	PANCL6752
PAN9108	279	pan_9108	PANCL1383
PAN6278	165	pan_6278	PANCL6278
PAN8234	426	pan_8234	PANCL53
PAN9288	150	pan_9288	PANCL9288
PAN10355	285	pan_10355	PANCL20
PAN10412	163	pan_10412	PANCL10194
PAN1695	308	pan_1695	PANCL210
PAN5887	216	pan_5887	PANCL2748
PAN1008	292	pan_1008	PANCL5365
PAN7177	181	pan_7177	PANCL5339
PAN5163	489	pan_5163	PANCL2403
PAN3576	263	pan_3576	PANCL5280
PAN7642	328	pan_7642	PANCL7642
PAN2757	276	pan_2757	PANCL281
PAN488	244	pan_488	PANCL102
PAN3849	275	pan_3849	PANCL1383
PAN8886	303	pan_8886	PANCL7537
PAN3970	389	pan_3970	PANCL13812
PAN12635	291	pan_12635	PANCL1830
PAN3813	275	pan_3813	PANCL1383
PAN7431	365	pan_7431	PANCL9813
PAN4357	384	pan_4357	PANCL6368
PAN3764	390	pan_3764	PANCL13812
PAN930	292	pan_930	PANCL144
PAN3167	158	pan_3167	PANCL6117
PAN971	247	pan_971	PANCL519
PAN1544	247	pan_1544	PANCL519
PAN9424	377	pan_9424	PANCL6316
PAN4474	254	pan_4474	PANCL2948
PAN588	290	pan_588	PANCL855
PAN10174	164	pan_10174	PANCL10513
PAN3948	398	pan_3948	PANCL13812
PAN13271	316	pan_13271	PANCL10236
PAN9563	164	pan_9563	PANCL9618
PAN9364	267	pan_9364	PANCL11647
PAN3956	398	pan_3956	PANCL13812
PAN8635	487	pan_8635	PANCL7590
PAN660	284	pan_660	PANCL1053
PAN6403	264	pan_6403	PANCL8
PAN937	287	pan_937	PANCL1266
PAN3826	253	pan_3826	PANCL4628
PAN3396	384	pan_3396	PANCL6368
PAN2773	393	pan_2773	PANCL1673
PAN8305	616	pan_8305	PANCL8305
PAN13789	297	pan_13789	PANCL9381
PAN1711	384	pan_1711	PANCL6368
PAN7843	162	pan_7843	PANCL8844
PAN7902	164	pan_7902	PANCL8781
PAN9210	134	pan_9210	PANCL9210
PAN3249	382	pan_3249	PANCL8002
PAN4214	640	pan_4214	PANCL8755
PAN12540	304	pan_12540	PANCL2354
PAN2129	249	pan_2129	PANCL363
PAN2940	292	pan_2940	PANCL5365
PAN10165	163	pan_10165	PANCL9618
PAN6874	301	pan_6874	PANCL144
PAN8977	125	pan_8977	PANCL1266
PAN12519	389	pan_12519	PANCL13812
PAN2762	276	pan_2762	PANCL11647
PAN12362	133	pan_12362	PANCL12362
PAN3184	873	pan_3184	PANCL7132
PAN4032	287	pan_4032	PANCL1266
PAN2144	292	pan_2144	PANCL5365
PAN8807	382	pan_8807	PANCL8002
PAN6180	79	pan_6180	PANCL5900
PAN3667	269	pan_3667	PANCL2776
PAN6848	142	pan_6848	PANCL651
PAN6910	254	pan_6910	PANCL2247
PAN3185	293	pan_3185	PANCL1830
PAN4191	542	pan_4191	PANCL5757
PAN9519	165	pan_9519	PANCL8695
PAN12927	161	pan_12927	PANCL7443
PAN9951	263	pan_9951	PANCL13509
PAN448	302	pan_448	PANCL448
PAN12900	266	pan_12900	PANCL13168
PAN8125	70	pan_8125	PANCL7748
PAN5724	163	pan_5724	PANCL7127
PAN5785	227	pan_5785	PANCL2748
PAN2249	279	pan_2249	PANCL1383
PAN7283	300	pan_7283	PANCL2571
PAN9595	166	pan_9595	PANCL7852
PAN3750	398	pan_3750	PANCL13812
PAN9192	169	pan_9192	PANCL9192
PAN12491	462	pan_12491	PANCL6271
PAN13682	380	pan_13682	PANCL8002
PAN2483	284	pan_2483	PANCL1920
PAN3113	382	pan_3113	PANCL8002
PAN12168	569	pan_12168	PANCL12168
PAN2276	274	pan_2276	PANCL1383
PAN9452	111	pan_9452	PANCL5169
PAN8155	163	pan_8155	PANCL7675
PAN1217	287	pan_1217	PANCL1266
PAN4546	378	pan_4546	PANCL8002
PAN7973	172	pan_7973	PANCL9079
PAN5434	209	pan_5434	PANCL4956
PAN1694	287	pan_1694	PANCL1266
PAN12590	276	pan_12590	PANCL1383
PAN10268	328	pan_10268	PANCL8221
PAN10516	342	pan_10516	PANCL8002
PAN2138	215	pan_2138	PANCL2748
PAN13842	322	pan_13842	PANCL7929
PAN2109	275	pan_2109	PANCL1383
PAN12329	275	pan_12329	PANCL1383
PAN11392	290	pan_11392	PANCL9105
PAN11170	303	pan_11170	PANCL5365
PAN14042	173	pan_14042	PANCL7976
PAN11735	322	pan_11735	PANCL7378
PAN9274	262	pan_9274	PANCL9274
PAN3855	292	pan_3855	PANCL5365
PAN2524	277	pan_2524	PANCL1383
PAN12913	211	pan_12913	PANCL9601
PAN380	391	pan_380	PANCL13812
PAN8764	351	pan_8764	PANCL10457
PAN12740	389	pan_12740	PANCL8002
PAN5834	640	pan_5834	PANCL8755
PAN13272	171	pan_13272	PANCL7357
PAN3936	275	pan_3936	PANCL1383
PAN2671	398	pan_2671	PANCL13812
PAN13236	290	pan_13236	PANCL9105
PAN5407	292	pan_5407	PANCL5365
PAN8327	542	pan_8327	PANCL5757
PAN13493	209	pan_13493	PANCL11081
PAN4128	398	pan_4128	PANCL13812
PAN7010	640	pan_7010	PANCL8755
PAN12710	384	pan_12710	PANCL6368
PAN4239	287	pan_4239	PANCL1266
PAN1688	287	pan_1688	PANCL1266
PAN12552	264	pan_12552	PANCL8
PAN6694	131	pan_6694	PANCL6694
PAN3354	398	pan_3354	PANCL13812
PAN7952	164	pan_7952	PANCL10048
PAN7659	173	pan_7659	PANCL7659
PAN8448	84	pan_8448	PANCL8448
PAN5464	343	pan_5464	PANCL4133
PAN11299	322	pan_11299	PANCL11299
PAN746	270	pan_746	PANCL557
PAN4946	542	pan_4946	PANCL5757
PAN3943	398	pan_3943	PANCL13812
PAN1144	382	pan_1144	PANCL8002
PAN3279	276	pan_3279	PANCL281
PAN5357	147	pan_5357	PANCL1063
PAN13123	686	pan_13123	PANCL13123
PAN5543	183	pan_5543	PANCL5339
PAN4844	291	pan_4844	PANCL1418
PAN4428	384	pan_4428	PANCL6368
PAN3175	265	pan_3175	PANCL490
PAN7092	291	pan_7092	PANCL1830
PAN8609	1040	pan_8609	PANCL13044
PAN2135	384	pan_2135	PANCL6368
PAN2648	300	pan_2648	PANCL2571
PAN3062	398	pan_3062	PANCL13812
PAN3643	398	pan_3643	PANCL13812
PAN1588	283	pan_1588	PANCL1565
PAN10160	339	pan_10160	PANCL9813
PAN5971	295	pan_5971	PANCL5971
PAN392	381	pan_392	PANCL8002
PAN1117	397	pan_1117	PANCL3630
PAN3538	398	pan_3538	PANCL13812
PAN8309	620	pan_8309	PANCL8309
PAN8380	176	pan_8380	PANCL8380
PAN13670	170	pan_13670	PANCL13670
PAN5843	306	pan_5843	PANCL5857
PAN4056	250	pan_4056	PANCL385
PAN12072	389	pan_12072	PANCL8002
PAN1292	275	pan_1292	PANCL1383
PAN12584	274	pan_12584	PANCL1383
PAN1215	291	pan_1215	PANCL1830
PAN2093	276	pan_2093	PANCL281
PAN944	271	pan_944	PANCL10748
PAN2638	398	pan_2638	PANCL13812
PAN1949	382	pan_1949	PANCL8002
PAN9710	322	pan_9710	PANCL7378
PAN3341	382	pan_3341	PANCL8002
PAN13971	382	pan_13971	PANCL8002
PAN7180	387	pan_7180	PANCL941
PAN2463	274	pan_2463	PANCL1383
PAN6063	300	pan_6063	PANCL2571
PAN593	264	pan_593	PANCL8
PAN3437	284	pan_3437	PANCL1383
PAN9135	384	pan_9135	PANCL13812
PAN3384	250	pan_3384	PANCL2948
PAN4956	209	pan_4956	PANCL4956
PAN10078	389	pan_10078	PANCL8002
PAN6508	264	pan_6508	PANCL6508
PAN3916	398	pan_3916	PANCL13812
PAN5343	155	pan_5343	PANCL4108
PAN5571	324	pan_5571	PANCL4455
PAN6285	158	pan_6285	PANCL7127
PAN5982	92	pan_5982	PANCL12707
PAN1878	278	pan_1878	PANCL8
PAN79	292	pan_79	PANCL5365
PAN12129	164	pan_12129	PANCL11260
PAN8145	159	pan_8145	PANCL10031
PAN870	267	pan_870	PANCL8432
PAN8027	292	pan_8027	PANCL1892
PAN11107	478	pan_11107	PANCL5230
PAN11054	171	pan_11054	PANCL7357
PAN1558	79	pan_1558	PANCL5900
PAN12113	167	pan_12113	PANCL8206
PAN14049	414	pan_14049	PANCL10126
PAN330	276	pan_330	PANCL1383
PAN2258	371	pan_2258	PANCL2258
PAN10931	336	pan_10931	PANCL9063
PAN10947	164	pan_10947	PANCL8781
PAN12839	389	pan_12839	PANCL8002
PAN7901	163	pan_7901	PANCL9618
PAN2142	384	pan_2142	PANCL6368
PAN8517	303	pan_8517	PANCL7537
PAN3820	275	pan_3820	PANCL1383
PAN250	294	pan_250	PANCL6752
PAN9517	325	pan_9517	PANCL12776
PAN11423	515	pan_11423	PANCL2624
PAN4945	158	pan_4945	PANCL7127
PAN13514	640	pan_13514	PANCL8755
PAN5674	292	pan_5674	PANCL144
PAN7345	345	pan_7345	PANCL12755
PAN3703	484	pan_3703	PANCL1797
PAN4754	215	pan_4754	PANCL2748
PAN7500	305	pan_7500	PANCL11230
PAN4415	405	pan_4415	PANCL13090
PAN9633	255	pan_9633	PANCL13556
PAN4062	420	pan_4062	PANCL8
PAN5116	132	pan_5116	PANCL6828
PAN11281	171	pan_11281	PANCL10851
PAN7536	389	pan_7536	PANCL8002
PAN8874	189	pan_8874	PANCL12755
PAN13691	301	pan_13691	PANCL7537
PAN3212	275	pan_3212	PANCL1383
PAN8288	291	pan_8288	PANCL1418
PAN7326	438	pan_7326	PANCL6807
PAN9292	89	pan_9292	PANCL9292
PAN7403	345	pan_7403	PANCL12746
PAN4496	274	pan_4496	PANCL1383
PAN6900	194	pan_6900	PANCL6900
PAN11157	219	pan_11157	PANCL165
PAN939	287	pan_939	PANCL1830
PAN2752	258	pan_2752	PANCL2948
PAN12435	293	pan_12435	PANCL6752
PAN11386	274	pan_11386	PANCL1383
PAN2836	294	pan_2836	PANCL6752
PAN3398	258	pan_3398	PANCL2948
PAN3348	314	pan_3348	PANCL9315
PAN5039	264	pan_5039	PANCL8
PAN11137	61	pan_11137	PANCL11137
PAN7953	311	pan_7953	PANCL4187
PAN6668	180	pan_6668	PANCL6668
PAN10392	381	pan_10392	PANCL10392
PAN6850	352	pan_6850	PANCL6620
PAN5984	562	pan_5984	PANCL6861
PAN4297	265	pan_4297	PANCL490
PAN5504	1051	pan_5504	PANCL5783
PAN11220	352	pan_11220	PANCL12746
PAN7987	274	pan_7987	PANCL2177
PAN10358	378	pan_10358	PANCL8002
PAN8290	267	pan_8290	PANCL12643
PAN4291	398	pan_4291	PANCL13812
PAN6870	405	pan_6870	PANCL13090
PAN11422	265	pan_11422	PANCL3481
PAN1280	287	pan_1280	PANCL1266
PAN936	284	pan_936	PANCL2049
PAN13251	398	pan_13251	PANCL13812
PAN10168	217	pan_10168	PANCL10168
PAN4406	384	pan_4406	PANCL6368
PAN5088	353	pan_5088	PANCL5088
PAN13308	640	pan_13308	PANCL8755
PAN233	287	pan_233	PANCL1266
PAN1658	210	pan_1658	PANCL1658
PAN13338	161	pan_13338	PANCL7847
PAN7233	127	pan_7233	PANCL6920
PAN13982	165	pan_13982	PANCL13982
PAN9679	208	pan_9679	PANCL11641
PAN12254	70	pan_12254	PANCL12254
PAN11952	302	pan_11952	PANCL7555
PAN4259	272	pan_4259	PANCL692
PAN11355	275	pan_11355	PANCL1383
PAN10061	355	pan_10061	PANCL12755
PAN13955	303	pan_13955	PANCL13450
PAN967	300	pan_967	PANCL967
PAN9749	222	pan_9749	PANCL7857
PAN3692	280	pan_3692	PANCL4236
PAN12343	194	pan_12343	PANCL10748
PAN10208	281	pan_10208	PANCL10359
PAN6698	147	pan_6698	PANCL1063
PAN9047	169	pan_9047	PANCL10885
PAN14035	318	pan_14035	PANCL9055
